a;w;x1_0;x2_0;x1;x2;f1;f2;f_calls
1;0;-2.67136;-7.16256;-1.57594;-2.28846;31.1782;0.263032;440
1;0.01;-7.13508;-4.04522;-2.10666;-1.7855;31.1947;0.0573884;435
1;0.02;8.15383;-2.93306;-1.9077;-1.93144;30.7263;0.01322;449
1;0.03;-7.51976;-6.05527;-2.26508;-1.02599;27.3475;1.01897;408
1;0.04;-9.21864;-8.09531;-2.21302;-0.788852;25.5272;1.51226;284
1;0.05;-8.57887;7.44229;-1.78379;-1.81591;28.8783;0.0806333;376
1;0.06;2.00245;0.749611;-2.08193;-1.19368;26.8617;0.656868;439
1;0.07;-5.12835;7.41378;-1.74528;-1.69144;27.6539;0.160091;473
1;0.08;-9.36198;-3.6003;-1.69934;-1.6581;27.0668;0.20729;470
1;0.09;9.62791;-7.05209;-1.62267;-1.65697;26.4971;0.26005;386
1;0.1;3.26933;2.70127;-1.42891;-1.7402;25.7465;0.393637;603
1;0.11;2.16113;-3.4425;-1.52971;-1.58298;25.2966;0.395079;487
1;0.12;-7.03241;-9.21367;-1.08773;-1.77766;23.8048;0.881667;460
1;0.13;1.6754;5.42811;-1.55405;-1.38384;24.0816;0.578533;479
1;0.14;0.514828;-2.93887;-1.07281;-1.67415;22.9415;0.965869;590
1;0.15;6.22413;-8.61534;-1.39364;-1.4063;23.1197;0.720152;344
1;0.16;7.62651;-2.63852;-1.35059;-1.36929;22.5785;0.819537;383
1;0.17;-0.523929;-0.863561;-1.48155;-1.09933;21.727;1.08001;261
1;0.18;1.86164;7.6123;-1.28852;-1.27093;21.5133;1.03775;456
1;0.19;6.46935;6.98657;-1.23497;-1.23665;20.9409;1.16799;414
1;0.2;-3.03378;-1.8008;-1.12775;-1.26444;20.4394;1.30188;306
1;0.21;9.14151;-5.00951;-1.16904;-1.15082;19.9705;1.4116;365
1;0.22;4.91875;-7.73432;-1.11967;-1.12033;19.4688;1.54881;358
1;0.23;8.4293;9.28245;-1.29882;-0.597039;17.6269;2.45995;288
1;0.24;7.05723;-6.07015;-1.03994;-1.04007;18.4832;1.8432;365
1;0.25;0.913017;-9.66368;-0.991577;-1.00828;17.9993;2.00042;343
1;0.26;2.89585;0.706503;-1.07956;-0.793164;17.2854;2.30367;651
1;0.27;7.64067;-7.38024;-0.920608;-0.919394;17.0528;2.3328;347
1;0.28;-0.276194;0.728308;-1.0116;-0.196402;13.8939;4.2299;594
1;0.29;-2.31591;-1.11854;-0.919833;-0.0993373;12.9326;4.77928;396
1;0.3;-4.06162;-6.76995;-0.441102;-0.963678;14.7424;3.50413;583
1;0.31;1.04102;-8.33608;-0.717862;-0.79686;15.2092;3.09142;483
1;0.32;-2.45014;-8.18974;-0.706173;-0.731338;14.7836;3.28349;466
1;0.33;8.26869;-4.24006;-0.685536;-0.674372;14.3644;3.48511;396
1;0.34;9.36733;4.7864;-0.638306;-0.641686;13.9392;3.69923;356
1;0.35;1.28254;-5.329;-0.584743;-0.613694;13.5123;3.9248;453
1;0.36;2.12533;-8.19844;-0.557604;-0.562376;13.1071;4.14727;354
1;0.37;2.47141;-5.78907;-0.517576;-0.5224;12.7007;4.38088;349
1;0.38;8.37664;2.63744;-0.48086;-0.479139;12.3008;4.62081;339
1;0.39;7.68239;5.8694;-0.386095;-0.48306;11.859;4.9058;566
1;0.4;8.36595;8.71242;-0.399597;-0.400401;11.52;5.12001;365
1;0.41;2.21229;-8.58335;-0.359267;-0.360729;11.1392;5.37921;376
1;0.42;6.5352;-0.955175;-0.304969;-0.333736;10.7592;5.64957;298
1;0.43;7.89428;1.72283;-0.320522;-0.221232;10.3187;5.98466;574
1;0.44;-2.83008;-2.15981;-0.229482;-0.248375;10.0258;6.20293;450
1;0.45;-0.513857;6.98881;-0.207736;-0.191613;9.67727;6.48247;338
1;0.46;2.08165;-3.40831;-0.159911;-0.160089;9.3312;6.7712;329
1;0.47;9.53343;-3.10594;-0.112989;-0.126273;8.98576;7.07166;317
1;0.48;-6.84458;-4.47774;-0.0802842;-0.0797138;8.65279;7.37281;348
1;0.49;-7.68637;1.53007;-0.0403118;-0.0396408;8.32301;7.68339;271
1;0.5;-4.5251;-0.199836;1.86608e-06;-6.64543e-07;8;8;217
1;0.51;-4.24991;-1.10239;0.0395687;0.0404221;7.68324;8.32316;285
1;0.52;4.19722;-9.11695;0.0808545;0.0790056;7.37334;8.65222;252
1;0.53;4.81597;0.973906;0.126216;0.113061;7.07161;8.98582;299
1;0.54;6.07309;-8.48515;0.163083;0.156793;6.77168;9.33069;336
1;0.55;5.34058;-0.990794;0.201094;0.198893;6.48005;9.67995;344
1;0.56;8.262;8.21441;0.266734;0.20273;6.23439;9.9901;265
1;0.57;9.40663;-2.93091;0.289725;0.269546;5.91951;10.3937;326
1;0.58;5.67017;-8.2602;0.328568;0.310947;5.64659;10.7627;322
1;0.59;5.18727;-7.53618;0.356131;0.363466;5.38055;11.1373;470
1;0.6;-6.12792;4.77436;0.399361;0.400636;5.12001;11.52;357
1;0.61;4.14956;9.00111;0.437339;0.442628;4.86732;11.9071;360
1;0.62;6.52946;-1.80655;0.480969;0.479028;4.62081;12.3008;347
1;0.63;-8.83028;0.142718;0.517629;0.522351;4.38087;12.7007;349
1;0.64;-8.03903;-5.31743;0.567727;0.552054;4.14796;13.1062;371
1;0.65;5.1889;-5.57795;0.599038;0.60096;3.92001;13.52;354
1;0.66;5.08778;4.73928;0.727314;0.511643;3.83494;13.7466;268
1;0.67;9.60461;-6.84537;0.680961;0.679035;3.48481;14.3648;346
