a;w;x1_0;x2_0;x1;x2;f1;f2;f_calls
1;0.68;-3.45901;-3.89443;0.690818;0.741905;3.29676;14.7585;464
1;0.69;-8.67376;-4.32581;0.763765;0.756196;3.07532;15.235;352
1;0.7;4.99309;-0.353178;0.806935;0.792596;2.88123;15.6775;428
1;0.71;-9.61161;-9.20318;0.835083;0.844857;2.69139;16.1309;382
1;0.72;4.5339;-0.98414;0.87818;0.881681;2.50912;16.588;454
1;0.73;5.3918;-5.37565;0.912044;0.927823;2.33321;17.0521;344
1;0.74;1.69373;-4.39106;1.00198;0.0473167;4.80901;13.2034;432
1;0.75;7.94298;-0.26419;1.01173;0.987991;2.00084;17.9986;346
1;0.76;5.44539;-1.26867;1.11146;0.95689;1.87758;18.4244;589
1;0.77;-9.22636;-7.84421;1.09386;1.06337;1.69836;18.9562;468
1;0.78;6.5703;8.45211;1.0209;1.20389;1.59243;19.3907;590
1;0.79;-5.78323;-4.56304;1.38028;0.758262;1.92597;19.0343;397
1;0.8;7.10213;-7.74138;1.19615;1.20365;1.28035;20.4787;466
1;0.81;-3.91046;7.36179;1.20989;1.26742;1.16095;20.9794;469
1;0.82;-8.60516;-0.650612;1.27439;1.28527;1.03735;21.5146;440
1;0.83;-6.56539;9.65645;1.30814;1.33164;0.925368;22.0437;353
1;0.84;-7.14866;8.35597;1.36535;1.35442;0.819553;22.5777;457
1;0.85;0.105568;-4.39309;1.2045;1.55165;0.833832;22.8831;251
1;0.86;-3.05699;5.17036;1.40786;1.46965;0.631901;23.652;436
1;0.87;-7.3965;0.54546;1.61131;1.3178;0.616477;24.0493;277
1;0.88;8.5783;8.7523;1.22074;1.73027;0.68;24.2881;409
1;0.89;-3.97716;4.91915;1.5097;1.60652;0.395221;25.325;421
1;0.9;-0.113483;2.33078;0.600079;1.91207;1.96751;22.0647;428
1;0.91;-4.9537;-0.597549;1.62557;1.65228;0.261109;26.4839;487
1;0.92;0.888632;-3.93505;2.01125;0.64192;1.84451;23.0699;405
1;0.93;-2.578;-3.10765;1.70766;1.73203;0.157269;27.6748;245
1;0.94;5.63656;4.9068;1.88092;1.61487;0.162502;28.1288;268
1;0.95;3.62845;1.47218;2.01485;1.51345;0.236948;28.4634;404
1;0.96;-0.929235;-2.9979;1.62528;2.01325;0.140594;29.2488;395
1;0.97;9.25354;5.58876;1.95469;1.7943;0.0443663;30.0363;452
1;0.98;8.5873;5.02898;2.11657;1.66931;0.122943;30.41;604
1;0.99;6.12417;4.59103;1.26764;2.33007;0.645301;29.4269;295
1;1;3.61421;-5.45211;1.9993;1.99928;1.0093e-06;31.9886;446
