w;l_0;d_0;l_opt;d_opt;mass;deflection;function_calls
0;0.870624;0.0470771;0.880952;0.0570493;17.5646;0.00211736;60
0.01;0.789951;0.0365092;0.782522;0.030339;4.4125;0.0185533;60
0.02;0.923859;0.0202245;0.938837;0.0317071;5.78214;0.0268585;63
0.03;0.486091;0.0245384;0.486729;0.0254717;1.93458;0.00898608;59
0.04;0.677235;0.01186;0.685699;0.0285543;3.42501;0.0159094;103
0.05;0.348277;0.0435006;0.331103;0.022402;1.01793;0.00472806;64
0.06;0.475384;0.0354134;0.466998;0.0251228;1.80566;0.00838704;60
0.07;0.84724;0.0115682;0.877343;0.0309992;5.16483;0.0239908;70
0.08;0.747935;0.0447086;0.740329;0.0292934;3.8918;0.0180772;64
0.09;0.68986;0.0242181;0.69798;0.0287238;3.52785;0.0163871;63
0.1;0.261703;0.0123601;0.29101;0.0214583;0.820888;0.00381309;70
0.11;0.621239;0.0465164;0.608478;0.0274395;2.80661;0.0130367;104
0.12;0.87439;0.0405383;0.872815;0.030946;5.12054;0.0237842;60
0.13;0.283092;0.0277346;0.280238;0.0211903;0.770875;0.00358074;64
0.14;0.927503;0.0132896;0.936595;0.031682;5.7592;0.0267511;66
0.15;0.73654;0.0394354;0.693702;0.028665;3.49189;0.0162201;70
0.16;0.886234;0.0311935;0.886234;0.0311935;5.28276;0.0241173;8
0.17;0.294082;0.0300996;0.284162;0.0212889;0.78896;0.00366459;61
0.18;0.342127;0.0260125;0.342127;0.0260125;1.41819;0.00286927;8
0.19;0.926738;0.0426225;0.917668;0.031467;5.56649;0.0258567;60
0.2;0.316036;0.0265926;0.316036;0.0265926;1.36913;0.00207062;8
0.21;0.79752;0.032727;0.79752;0.032727;5.23286;0.0145057;8
0.22;0.992173;0.0374958;0.96791;0.0320311;6.08363;0.028259;64
0.23;0.53319;0.0345463;0.521376;0.0260622;2.1695;0.0100773;60
0.24;0.956634;0.0356182;0.948511;0.0318157;5.88179;0.0273212;60
0.25;0.999632;0.0395461;0.999327;0.0323743;6.4164;0.0298031;60
0.26;0.640089;0.0279082;0.640089;0.0279082;3.05413;0.0141818;8
0.27;0.546139;0.0236942;0.549478;0.0265222;2.36785;0.0109989;60
0.28;0.743161;0.0229073;0.749623;0.0294154;3.97353;0.0184574;60
0.29;0.775095;0.0475144;0.772662;0.0297138;4.17917;0.0194122;101
0.3;0.617483;0.0352169;0.610308;0.0274672;2.82073;0.0131018;60
0.31;0.530943;0.0388529;0.520838;0.0260533;2.16577;0.0100599;61
0.32;0.995954;0.0183592;1.05466;0.0329608;7.01929;0.0326051;76
0.33;0.429908;0.0305832;0.420023;0.0242504;1.5132;0.00702882;60
0.34;0.590827;0.0443588;0.576698;0.0269533;2.56658;0.0119218;64
0.35;0.838826;0.022397;0.844701;0.0306099;4.84854;0.0225216;60
0.36;0.796457;0.0348582;0.786948;0.0298957;4.30872;0.0200144;61
0.37;0.498937;0.0202439;0.501106;0.02572;2.03075;0.0094328;99
