w;l_0;d_0;l_opt;d_opt;mass;deflection;function_calls
0.38;0.245969;0.0374087;0.231469;0.019882;0.56053;0.00260358;61
0.39;0.984732;0.0207121;0.993483;0.032311;6.35399;0.0295132;60
0.4;0.974812;0.015886;1.04426;0.0328521;6.90431;0.032071;73
0.41;0.631733;0.046039;0.614305;0.0275267;2.85153;0.0132456;107
0.42;0.982345;0.0131954;1.00817;0.0324692;6.51122;0.0302448;69
0.43;0.272586;0.0109315;0.292369;0.0214918;0.827293;0.00384277;66
0.44;0.558427;0.0249389;0.561094;0.026708;2.4519;0.0113889;59
0.45;0.263682;0.0143884;0.265332;0.0208077;0.703758;0.00326897;60
0.46;0.33663;0.0226121;0.33663;0.0226121;1.05443;0.00478672;8
0.47;0.733106;0.014155;0.744838;0.0293527;3.93135;0.0182614;110
0.48;0.564014;0.0325052;0.553907;0.0265934;2.39978;0.0111468;60
0.49;0.511887;0.0421372;0.126436;0.0173339;0.232727;0.00073446;299
0.5;0.83005;0.023755;0.830058;0.030432;4.70927;0.0218747;59
0.51;0.509054;0.0302344;0.505186;0.0257896;2.05839;0.00956118;60
0.52;0.61762;0.0147471;0.627268;0.0277192;2.95256;0.0137144;63
0.53;0.559268;0.0433432;0.118261;0.0163065;0.19264;0.000767406;233
0.54;0.934373;0.0342532;0.934373;0.0342532;6.71593;0.01944;8
0.55;0.915749;0.0109133;1.00359;0.0324203;6.46213;0.0300147;116
0.56;0.937533;0.0341424;0.927169;0.0315752;5.66286;0.0263046;67
0.57;0.938917;0.0229105;0.948337;0.0318138;5.88001;0.0273128;63
0.58;0.880149;0.0155976;0.881961;0.0310535;5.21021;0.0242016;63
0.59;0.410344;0.0385272;0.369877;0.0232441;1.22424;0.00568668;67
0.6;0.323069;0.0166064;0.327428;0.0223186;0.999153;0.00464108;63
0.61;0.663108;0.0227688;0.672792;0.028374;3.31823;0.0154133;63
0.62;0.44236;0.0139457;0.470476;0.0251849;1.82811;0.00849164;69
0.63;0.756905;0.0199341;0.768922;0.0296658;4.14553;0.0192557;63
0.64;0.505507;0.0364997;0.493266;0.0255852;1.97807;0.0091882;64
0.65;0.577901;0.0290717;0.574301;0.0269157;2.5488;0.0118395;71
0.66;0.487053;0.0299004;0.479594;0.0253465;1.88753;0.00876777;70
0.67;0.284081;0.0114063;0.601622;0.027336;2.75408;0.012793;85
0.68;0.484622;0.0262474;0.446226;0.0247445;1.67377;0.00777484;67
0.69;0.277937;0.023942;0.277937;0.023942;0.976001;0.00214355;8
0.7;0.453181;0.0354389;0.440787;0.0246435;1.63991;0.00761753;61
0.71;0.821904;0.0274236;1.56493;0.0375945;13.5497;0.0629397;89
0.72;0.939427;0.047778;0.938162;0.0316996;5.77523;0.0268262;67
0.73;0.630904;0.049547;0.609383;0.0274531;2.81358;0.013069;64
0.74;0.838155;0.0229166;0.849831;0.0306718;4.89774;0.0227499;63
0.75;0.715106;0.0319187;0.665642;0.0282731;3.25966;0.0151415;70
0.76;0.757462;0.0199406;0.761702;0.0295726;4.08084;0.0189555;63
0.77;0.980917;0.0404115;0.942382;0.031747;5.81858;0.0270277;67
0.78;0.703693;0.0111403;0.727145;0.0291186;3.77699;0.0175437;66
0.79;0.658706;0.0152842;0.665684;0.0282739;3.26006;0.0151425;63
0.8;0.22037;0.0186167;0.221713;0.0195986;0.521708;0.0024233;59
0.81;0.841029;0.0133197;0.848105;0.0306511;4.88118;0.0226728;63
0.82;0.777351;0.0122087;0.798817;0.0300453;4.41757;0.0205199;106
0.83;0.530527;0.0489668;0.527538;0.0261644;2.21238;0.0102767;67
0.84;0.736806;0.0407677;0.724511;0.0290833;3.7542;0.0174381;61
0.85;0.3631;0.0404524;0.349878;0.0228174;1.11592;0.00518354;64
0.86;0.849884;0.0299277;0.849996;0.0306737;4.89929;0.0227575;99
0.87;0.772678;0.0324056;0.760704;0.0295596;4.0719;0.0189143;60
0.88;0.36381;0.0330471;0.321113;0.0221741;0.967244;0.00449288;70
0.89;0.476032;0.0110029;3.6585;0.0498954;55.7968;0.259182;98
0.9;0.78877;0.0370895;0.779864;0.0298058;4.2443;0.0197147;61
0.91;0.574224;0.0290299;0.574224;0.0290299;2.96454;0.00874582;8
0.92;0.950325;0.0392512;0.927185;0.0315755;5.66306;0.0263049;108
0.93;0.311099;0.0446136;0.246635;0.0203071;0.623067;0.00289412;110
0.94;0.249572;0.0359969;0.138964;0.0167728;0.239496;0.0011123;117
0.95;0.734142;0.0165395;0.741336;0.0293066;3.9006;0.0181185;66
0.96;0.442584;0.0170103;0.458049;0.0249611;1.74833;0.00812118;66
0.97;0.871676;0.0191964;0.880301;0.031034;5.19389;0.0241256;66
0.98;0.88032;0.0216271;0.88404;0.0310779;5.23068;0.0242968;69
0.99;0.410931;0.0189796;0.413217;0.0241189;1.47258;0.00683977;59
1;0.227063;0.0274206;0.223192;0.0196423;0.527529;0.00245022;60
